Municipio,Categoria,Nome,Endereco,Latitude,Longitude
João Pessoa,Educação,EEEFM BENEDITA TARGINO MARANHAO,"R. Carpinteiro João José Seabra, S/N - Penha, João Pessoa - PB, 58047-050",-7.163020347710395,-34.80040543278467
João Pessoa,Educação,Escola Estadual Professor Geraldo Lafayette Bezerra,"R. Felinto de Arruda Escolástico, SN - Cristo Redentor, João Pessoa - PB, 58070-300",-7.154766356938809,-34.877404032784824
João Pessoa,Educação,EEEF DES BOTO DE MENEZES,"R. Profa. Rita Miranda, 318 - Treze de Maio, João Pessoa - PB, 58025-280",-7.111459039163566,-34.862986188606556
João Pessoa,Educação,EEEF DES BRAZ BARACUHY,"R. Escritor Gilberto Amado, SN - Castelo Branco, João Pessoa - PB, 58050-500",-7.130865709443089,-34.84781420394951
João Pessoa,Educação,EEEFM DOMINGOS JOSE DA PAIXAO,"R. João Paulo II - Lot. Quintas de Gramame, João Pessoa - PB, 58066-154",-7.218066917514744,-34.83490013278433
João Pessoa,Educação,Escola Estadual Padre Miguelinho,"Av. da Fraternidade, S/N - Cristo Redentor, João Pessoa - PB, 58070-310",-7.1549568116631574,-34.88410333278471
João Pessoa,Educação,EEEFM GONÇALVES DIAS,"R. Humberto Paiva de Carvalho, S/N - Cristo Redentor, João Pessoa - PB, 58070-330",-7.152076439267059,-34.87905947696307
João Pessoa,Educação,EEEFM GRACILIANO RAMOS,"R. Cel. Benevenuto Gonçalves da Costa - Mangabeira, João Pessoa - PB, 58056-020",-7.172450013279965,-34.83486180394895
João Pessoa,Educação,Escola Estadual de Educação Infantil e Ensino Fundamental Padre Roma,"Conj. Altiplano Cabo Branco, João Pessoa - PB",-7.1344612555400575,-34.82788883278494
João Pessoa,Educação,EEEFM PROFª DÉBORA DUARTE,"Rua Adrísio Mota de Sousa, 54 - Cidade dos Funcionários II, João Pessoa - PB, 58078-030",-7.178195213811808,-34.8881208616202
João Pessoa,Educação,EEEFM SANTOS DUMONT,"R. das Indústrias, S/N - Bairro das Indústrias, João Pessoa - PB, 58083-050",-7.176775313680343,-34.917245203948895
João Pessoa,Educação,EEEF PROF ORLANDO CAVALCANTI GOMES,"R. Pres. Nereu Ramos, S/N - Cristo Redentor, João Pessoa - PB, 58070-440",-7.157066347723277,-34.87408254896255
João Pessoa,Educação,ESP-PB Escola de Saúde Pública,"Av. Dom Pedro II, 1826 - Torre, João Pessoa - PB, 58040-440",-7.128901117472433,-34.86942483278481
João Pessoa,Educação,Escola Estadual de Música Anthenor Navarro - EEMAN,"Espaço Cultural José Lins do Rêgo - R. Abdias Gomes de Almeida, 800 - Tambauzinho, João Pessoa - PB, 58042-900",-7.121839154672572,-34.843823632785146
João Pessoa,Educação,"Escola Técnica Estadual de Arte, Tecnologia e Economia Criativa Poeta Juca Pontes","R. Francisco Londres, 69 - Varadouro, João Pessoa - PB, 58010-150",-7.1202212545614945,-34.89059533278507
João Pessoa,Educação,Escola Ana Paula Ribeiro Barbosa Lira,"R. João Teixeira de Carvalho - Pedro Gondim, João Pessoa - PB, 58031-220",-7.117331308199179,-34.84406703278495
João Pessoa,Educação,Instituto de Educação da Paraíba - IEP,"Av. Camilo De Holanda, S/N - Centro, João Pessoa - PB, 58013-360",-7.1226034007669785,-34.875246061620686
João Pessoa,Educação,NUCLEO DE EDUCAÇÃO DE JOVENS E ADULTOS DO ENSINO MÉDIO,"Jardim Cidade Universitária, João Pessoa - PB, 58051-900",-7.108765961050784,-34.87667543278525
João Pessoa,Trânsito,DETRAN - PB,"R. Márcia Carneiro Morais de Oliveira, s/n - Mangabeira VII, João Pessoa - PB, 58058-280",-7.166249683144026,-34.82690261459791
João Pessoa,Trânsito,DETRAN Valentina,"R. Rad. Nilton Francisco dos Santos Junior, 742 - Planalto da Boa Esperança, João Pessoa - PB, 58065-120",-7.199151371500834,-34.860056832784245
João Pessoa,Trânsito,DETRAN - Casa da Cidadania Shopping Tambiá,"R. Dep. Odon Bezerra, 184 - Tambiá, João Pessoa - PB, 58020-500",-7.115652000286375,-34.8799307877507
João Pessoa,Trânsito,DETRAN-PB Shopping Carro Legal,"R. Afonso Barbosa de Oliveira, 1681 - Brisamar, João Pessoa - PB, 58033-450",-7.106883513914121,-34.844389556984986
João Pessoa,Trânsito,DETRAN- PB Shopping do Automóvel,"Rod. Br 230, Km 14 14001 - Lot. Parque Verde, PB, 58102-800",-7.094250306083278,-34.84671893278517
João Pessoa,Trânsito,DETRAN - Casa da Cidadania Manaíra Shopping,"Av. Gov. Flávio Ribeiro Coutinho, 805 - Manaíra, João Pessoa - PB, 58037-900",-7.098854912287432,-34.84498777005183
João Pessoa,Trânsito,DETRAN - Casa da Cidadania Jaguaribe,"Av. Primeiro de Maio, 146 - Jaguaribe, João Pessoa - PB, 58015-430",-7.1330934766532215,-34.878959682473294
João Pessoa,Segurança,1ª Delegacia Distrital,"Av. Cruz das Armas - Cruz das Armas, João Pessoa - PB, 58085-000",-7.148419111059915,-34.89334560209932
